,Price,Milage,Color,Production,Transmission,Description
0,"200,000,000","240,000 کیلومتر",سفید,"
      1390
    ",دنده ای,کاپوت. یک گلگیر عقب.یک گلگیر جلو یک رکاب رنگ. درب عقب یدونه تعویض  سقف به علت برگشتن کاپوت رنگ شده. خودم همینجوری خریده بودم تخفیف  برای مصرف کننده پای معامله. بیمه ثالث و بدنه 10 ماه. 12 سال تخفیف بیمه
1,"535,000,000","12,250 کیلومتر",مشکی,"
      1401
    ",دنده ای,
2,"280,000,000","351,000 کیلومتر",زرد,"
      1395
    ",دنده ای,به همراه 4 حلقه لاستیک نو  *باطری نو  سالم و کامل تمیز بیمه شخص ثالث یکساله تازه بیمه شده
3,"268,000,000","255,000 کیلومتر",سفید,"
      1391
    ",دنده ای,ماشین یه درب رنگ موتور تازه یه سال نمیشه تعمیر اساسی شده سرسیلندر بیست روز هست تعمیر شده سوپاپ میل سوپاپ... خلاصه فنی در حد و به شرط کارشناس روکش دورفرمان آینه چراغدار خلاصه ماشین خونه هستش نزدیک 50تومان خرجش کردم آماده سفره
4,"
      توافقی","470,000 کیلومتر",سفید,"
      1395
    ",دنده ای,خودرو مزبور از اول دست من بوده و موتور و سیستم گازش سرویس کامل کرده ام و 35میلیون براش هزینه کردم، لاستیکش مناسب و بیمه 8ماه دارد، شتاب عالی و کلا خوش رکاب است،
5,"397,000,000","30,000 کیلومتر",سفید,"
      1400
    ",دنده ای,ماشین کاملا سالم  سند خورده آخر برج ۱۲ تحویل داده برج3 سال بعد
6,"200,000,000","350,000 کیلومتر",نقره ای,"
      1387
    ",دنده ای,
7,"430,000,000","8,000 کیلومتر",سفید,"
      1399
    ",دنده ای,کم کارکرد مشابه نو نایلون صندلی هنوز باز نشده کم کارکرد بیشتر خواب بوده
8,"330,000,000","161,000 کیلومتر",سرمه ای,"
      1395
    ",دنده ای,
9,"499,000,000","15,000 کیلومتر",سفید,"
      1400
    ",دنده ای,در حد صفر گارانتی فعال بیمه فول رینگ اسپرت تحویل8
10,"
      توافقی","239,000 کیلومتر",آلبالویی,"
      1388
    ",دنده ای,فنی سالم، کاپوت آفتاب سوخته شده، کفی یک تکه، روکش صندلی نو کم کارکرد
11,"350,000,000","130,000 کیلومتر",سفید,"
      1394
    ",دنده ای,ماشین بسیار کم کارکرد و تمیز هست و مناسب برای خانواده ، لذت سواری یک ماشین نو رو داره
12,"328,000,000","60,000 کیلومتر",سفید,"
      1395
    ",دنده ای, سند اماده انتقال . فنی با ضمانت
13,"
      توافقی","150,000 کیلومتر",سفید,"
      1394
    ",دنده ای,خودرو بسیار تمیز از صفری دست خودم بوده کل تعویضی ها تعویض شده
14,"
          179,000,000
        ",کارکرد صفر,مشکی,"
      1402
    ",دنده ای,تحویل آنی با سود بانکی!! - پرداخت وجه همزمان با سند و تحویل خودرو - شرایط آسان و سریع حتی بدون ضامن - پیش پرداخت دوم تا 120 روز پس از تحویل خودرو - پلاک و سند 6 دانگ بنام خریدار و در رهن بانک - شروع اولین قسط 90 روز پس از تحویل خودرو - فروش برای تمام شهرستانها میسر می باشد
15,"
          179,000,000
        ",کارکرد صفر,مشکی,"
      1402
    ",دنده ای,تحویل آنی با سود بانکی!! - پرداخت وجه همزمان با سند و تحویل خودرو - شرایط آسان و سریع حتی بدون ضامن - پیش پرداخت دوم تا 120 روز پس از تحویل خودرو - پلاک و سند 6 دانگ بنام خریدار و در رهن بانک - شروع اولین قسط 90 روز پس از تحویل خودرو - فروش برای تمام شهرستانها میسر می باشد
16,"
          179,000,000
        ",کارکرد صفر,مشکی,"
      1402
    ",دنده ای,تحویل آنی با سود بانکی!! - پرداخت وجه همزمان با سند و تحویل خودرو - شرایط آسان و سریع حتی بدون ضامن - پیش پرداخت دوم تا 120 روز پس از تحویل خودرو - پلاک و سند 6 دانگ بنام خریدار و در رهن بانک - شروع اولین قسط 90 روز پس از تحویل خودرو - فروش برای تمام شهرستانها میسر می باشد
